headline/main,pub_date,web_url,headline/content_kicker,headline/kicker,
"Clinton? Trump? Either Way, Count on Deficit Spending to Rise",16-08-01,http://www.nytimes.com/2016/08/01/business/economy/clinton-trump-either-way-count-on-deficit-spending-to-rise.html,,,
Hillary Clinton Made Me Cry,16-08-01,http://www.nytimes.com/2016/08/01/opinion/campaign-stops/hillary-clinton-made-me-cry.html,Op-Ed Contributor,Op-Ed Contributor,
Only 9% of America Chose Trump and Clinton as the Nominees,16-08-01,http://www.nytimes.com/interactive/2016/08/01/us/elections/nine-percent-of-america-selected-trump-and-clinton.html,,,
"Hillary Clinton, Donald Trump, P.G.A. Championship: Your Monday Briefing",16-08-01,http://www.nytimes.com/2016/08/01/nytnow/your-monday-briefing-hillary-clinton-donald-trump-pga-championship.html,,,
"Donald Trump, Hillary Clinton, Harry Potter: Your Monday Evening Briefing",16-08-01,http://www.nytimes.com/2016/08/01/nytnow/donald-trump-hillary-clinton-harry-potter-your-monday-evening-briefing.html,,,
Clinton Accuses Trump of Scapegoating Muslim Soldier's Parents,16-08-01,http://www.nytimes.com/reuters/2016/08/01/us/politics/01reuters-usa-election-trump-mother.html,,,
Clinton Responds to Trump‰Ûªs Khan Remarks,16-08-01,http://www.nytimes.com/video/us/100000004562645/clinton-responds-to-trumps-khan-remarks.html,,,
"Intel Briefings for Clinton, Trump Could Begin This Week",16-08-01,http://www.nytimes.com/aponline/2016/08/01/us/politics/ap-us-campaign-2016-intelligence-briefings.html,,,
Correction: Campaign 2016-Clinton Story,16-08-01,http://www.nytimes.com/aponline/2016/08/01/us/politics/ap-us-campaign-2016-clinton.html,,,
Hillary Clinton Targets a Skeptical Crowd: White Male Voters,16-08-02,http://www.nytimes.com/2016/08/02/us/politics/hillary-clinton-white-male-voters.html,,,
Trump and Clinton Chart Courses as General Election Season Begins,16-08-02,http://www.nytimes.com/2016/08/02/us/politics/trump-clinton-general-election-campaign.html,,,
New Poll Reflects a Post-Convention Bounce for Hillary Clinton,16-08-02,http://www.nytimes.com/2016/08/02/us/politics/clinton-convention-poll.html,,,
Warren Buffett Is Latest Billionaire to Excoriate Donald Trump,16-08-02,http://www.nytimes.com/2016/08/02/us/politics/hillary-clinton-nebraska.html,"Buffett, in Nebraska With Clinton, Excoriates Trump",,
"Donald Trump, Hillary Clinton, Zika Virus: Your Tuesday Briefing",16-08-02,http://www.nytimes.com/2016/08/02/nytnow/your-tuesday-briefing-donald-trump-hillary-clinton-zika-virus.html,,,
White House Candidate Clinton Sees Big Boost in Fundraising in July,16-08-02,http://www.nytimes.com/reuters/2016/08/02/us/politics/02reuters-usa-election-clinton.html,White House Candidate Clinton Sees Big Boost in Fundraising in July,,
Clinton Sees Best-Yet Fundraising Numbers as General Begins,16-08-02,http://www.nytimes.com/aponline/2016/08/02/us/politics/ap-us-campaign-2016-clinton-fundraising.html,Clinton Sees Best-Yet Fundraising Numbers as General Begins,,
"Trump Fires Back at Obama, Says Clinton 'Unfit' for Government",16-08-02,http://www.nytimes.com/reuters/2016/08/02/us/politics/02reuters-usa-election-trump-statement.html,"Trump Fires Back at Obama, Says Clinton 'Unfit' for Government",,
Hewlett Packard's Meg Whitman Joins CEOs Endorsing Clinton,16-08-02,http://www.nytimes.com/reuters/2016/08/02/technology/02reuters-usa-election-clinton-whitman.html,,,
"House Republican Backs Hillary Clinton, Calling Donald Trump ÔUnfit to ServeÕ",16-08-03,http://www.nytimes.com/2016/08/03/us/politics/donald-trump-republican-party-richard-hanna.html,,,
"Meg Whitman, Calling Donald Trump a ÔDemagogue,Õ Will Support Hillary Clinton for President",16-08-03,http://www.nytimes.com/2016/08/03/us/politics/meg-whitman-hillary-clinton.html,,,
How Clinton Could Knock Trump Out,16-08-03,http://www.nytimes.com/2016/08/03/opinion/how-clinton-could-knock-trump-out.html,Op-Ed Columnist,Op-Ed Columnist,
"Hillary Clinton, African National Congress, Las Vegas: Your Wednesday Briefing",16-08-03,http://www.nytimes.com/2016/08/03/nytnow/your-wednesday-briefing-hillary-clinton-african-national-congress-las-vegas.html,,,
Hewlett Packard's Meg Whitman Joins CEOs Endorsing Clinton,16-08-03,http://www.nytimes.com/reuters/2016/08/03/technology/03reuters-usa-election-clinton-whitman.html,,,
Clinton Mural Painted Over After Bikini and Niqab Fail to Fit,16-08-03,http://www.nytimes.com/reuters/2016/08/03/world/asia/03reuters-australia-art.html,,,
AP FACT CHECK: Trump Off Base on Clinton and Iran Payment,16-08-03,http://www.nytimes.com/aponline/2016/08/03/business/ap-us-campaign-2016-iran-fact-check.html,,,
What Hillary Clinton Faces on the Stump,16-08-03,http://takingnote.blogs.nytimes.com/2016/08/03/what-hillary-clinton-faces-on-the-stump/,Taking Note,,
Hillary Clinton Has Officially Started Transition Planning,16-08-03,http://www.nytimes.com/aponline/2016/08/03/us/ap-us-campaign-2016-clinton-transition.html,,,
"Clinton, Kaine to Release Book 2 Months Before Election",16-08-03,http://www.nytimes.com/aponline/2016/08/03/arts/ap-us-books-clinton-kaine.html,,,
Clinton Hits Trump for Profiting Off Foreign Labor,16-08-03,http://www.nytimes.com/aponline/2016/08/03/us/ap-us-campaign-2016-clinton.html,,,
"Billionaire Klarman Slams Trump, Vows to Work for Clinton",16-08-03,http://www.nytimes.com/reuters/2016/08/03/business/03reuters-usa-election-klarman.html,,,
Clinton Takes Issue With Trump Products,16-08-03,http://www.nytimes.com/video/us/elections/100000004567878/clinton-takes-issue-with-trump-products.html,,,
Trump Conflict Overshadows Attacks on Clinton Foreign Policy,16-08-04,http://www.nytimes.com/aponline/2016/08/04/us/ap-us-campaign-2016.html,,,
"In Slap at Trump, Some Wealthy Republicans Campaign for Clinton",16-08-04,http://www.nytimes.com/reuters/2016/08/04/business/04reuters-usa-election-clinton-republicans.html,,,
Clinton Wooing a New Group of Voters: Republicans,16-08-04,http://www.nytimes.com/aponline/2016/08/04/us/politics/ap-us-campaign-2016-clinton.html,,,
"Hillary Clinton Leads Donald Trump in New Hampshire and Florida, Polls Show",16-08-05,http://www.nytimes.com/2016/08/05/us/politics/hillary-clinton-donald-trump-new-hampshire.html,,,
"Clinton to Discuss Jobs in Las Vegas, a Town With TrumpÕs Name All Over It",16-08-05,http://www.nytimes.com/2016/08/05/us/politics/hillary-clinton-donald-trump-vegas.html,,,
"With Billionaires Backing Her, Hillary Clinton Must Confront How to Deploy Them",16-08-05,http://www.nytimes.com/2016/08/05/us/politics/with-billionaires-backing-her-hillary-clinton-must-confront-how-to-deploy-them.html,,,
Hillary Clinton to Animal Rights Protesters: Trumps ÔHave Killed a Lot of AnimalsÕ,16-08-05,http://www.nytimes.com/2016/08/05/us/politics/hillary-clinton-to-animal-rights-protesters-trumps-have-killed-a-lot-of-animals.html,,,
Italy PM Hints He Wants to Host Clinton at G7 Meeting,16-08-05,http://www.nytimes.com/reuters/2016/08/05/world/americas/05reuters-usa-election-renzi.html,,,
"Clinton Acknowledges Trust Issues, Blames Them on GOP",16-08-05,http://www.nytimes.com/aponline/2016/08/05/us/politics/ap-us-campaign-2016-clinton.html,,,
"In Historic Role, Clinton Brings a New Look to Leadership",16-08-05,http://www.nytimes.com/aponline/2016/08/05/us/ap-us-campaign-2016-madame-president.html,,,
Trump Paints Grim Future if Clinton Wins,16-08-05,http://www.nytimes.com/video/us/elections/100000004572624/trump-paints-grim-future-if-clinton-wins.html,,,
