web_url,snippet,lead_paragraph,abstract,print_page,source,multimedia/0/width,multimedia/0/url,multimedia/0/height,multimedia/0/subtype,multimedia/0/legacy/wide,multimedia/0/legacy/wideheight,multimedia/0/legacy/widewidth,multimedia/0/type,multimedia/1/width,multimedia/1/url,multimedia/1/height,multimedia/1/subtype,multimedia/1/legacy/xlargewidth,multimedia/1/legacy/xlarge,multimedia/1/legacy/xlargeheight,multimedia/1/type,multimedia/2/width,multimedia/2/url,multimedia/2/height,multimedia/2/subtype,multimedia/2/legacy/thumbnailheight,multimedia/2/legacy/thumbnail,multimedia/2/legacy/thumbnailwidth,multimedia/2/type,headline/main,headline/print_headline,keywords/0/rank,keywords/0/is_major,keywords/0/name,keywords/0/value,keywords/1/rank,keywords/1/is_major,keywords/1/name,keywords/1/value,keywords/2/rank,keywords/2/is_major,keywords/2/name,keywords/2/value,keywords/3/rank,keywords/3/is_major,keywords/3/name,keywords/3/value,keywords/4/rank,keywords/4/is_major,keywords/4/name,keywords/4/value,keywords/5/rank,keywords/5/is_major,keywords/5/name,keywords/5/value,keywords/6/rank,keywords/6/is_major,keywords/6/name,keywords/6/value,keywords/7/rank,keywords/7/is_major,keywords/7/name,keywords/7/value,pub_date,document_type,news_desk,section_name,subsection_name,byline/contributor,byline/person/0/organization,byline/person/0/role,byline/person/0/firstname,byline/person/0/rank,byline/person/0/lastname,byline/person/1/organization,byline/person/1/role,byline/person/1/firstname,byline/person/1/rank,byline/person/1/lastname,byline/person/2/organization,byline/person/2/role,byline/person/2/firstname,byline/person/2/rank,byline/person/2/lastname,byline/original,type_of_material,_id,word_count,slideshow_credits,headline/content_kicker,byline/person/0/middlename,byline/person/1/middlename,headline/kicker,keywords/8/rank,keywords/8/is_major,keywords/8/name,keywords/8/value,keywords/9/rank,keywords/9/is_major,keywords/9/name,keywords/9/value,byline/organization
http://www.nytimes.com/2016/08/01/us/politics/khizr-khan-ghazala-donald-trump-muslim-soldier.html,"Mr. Trump faced criticism from Democrats and Republicans over his rough and racially charged dismissal of Khizr and Ghazala Khan, who appeared at the Democratic convention.","Mr. Trump faced criticism from Democrats and Republicans over his rough and racially charged dismissal of Khizr and Ghazala Khan, who appeared at the Democratic convention.","Donald J Trump draws intense criticism from both fellow Republicans and Democratic leaders after he ridicules appearance of Khizr and Ghazala Khan, Muslim Americans who lost their son during military service in Iraq, at Democratic National Convention; Trump is seeing no empathy for his claims on Twitter that Khizr Khan viciously attacked him, and episode may prove to be one of biggest crises of his presidential campaign to date. ",1,The New York Times,190,images/2016/08/01/us/01trump1/01trump1-thumbWide.jpg,126,wide,images/2016/08/01/us/01trump1/01trump1-thumbWide.jpg,126,190,image,600,images/2016/08/01/us/01trump1/01trump1-articleLarge.jpg,400,xlarge,600,images/2016/08/01/us/01trump1/01trump1-articleLarge.jpg,400,image,75,images/2016/08/01/us/01trump1/01trump1-thumbStandard.jpg,75,thumbnail,75,images/2016/08/01/us/01trump1/01trump1-thumbStandard.jpg,75,image,Donald Trump’s Confrontation With Muslim Soldier’s Parents Emerges as Unexpected Flash Point,Trump Struggles in Feud With Fallen G.I.’s Family,1,Y,subject,Presidential Election of 2016,2,Y,persons,"Trump, Donald J",3,Y,subject,Muslim Americans,4,N,subject,Democratic National Convention,5,N,subject,Muslims and Islam,6,Y,persons,"Khan, Humayun (1976-2004)",7,Y,persons,"Khan, Khizr (1950- )",8,N,subject,United States Defense and Military Forces,2016-08-01T00:00:00Z,article,National,U.S.,Politics,Matt Flegenheimer contributed reporting.,,reported,Alexander,1,BURNS,,reported,Maggie,2,HABERMAN,,reported,Ashley,3,PARKER,"By ALEXANDER BURNS, MAGGIE HABERMAN and ASHLEY PARKER",News,579e121738f0d84e5033280e,,,,,,,,,,,,,,,
http://www.nytimes.com/2016/08/01/us/politics/trying-to-pin-down-an-unpredictable-presidential-election.html,"Some political operatives believe the race’s dynamics will be set in August, while others say little will change over the next five weeks.","Some political operatives believe the race’s dynamics will be set in August, while others say little will change over the next five weeks.",,,The New York Times,190,images/2016/07/31/us/01letter-web01/01letter-web01-thumbWide.jpg,126,wide,images/2016/07/31/us/01letter-web01/01letter-web01-thumbWide.jpg,126,190,image,600,images/2016/07/31/us/01letter-web01/01letter-web01-articleLarge.jpg,386,xlarge,600,images/2016/07/31/us/01letter-web01/01letter-web01-articleLarge.jpg,386,image,75,images/2016/07/31/us/01letter-web01/01letter-web01-thumbStandard.jpg,75,thumbnail,75,images/2016/07/31/us/01letter-web01/01letter-web01-thumbStandard.jpg,75,image,Trying to Pin Down an Unpredictable Presidential Election,,1,N,persons,"Clinton, Hillary Rodham",2,N,persons,"Trump, Donald J",3,N,subject,Polls and Public Opinion,4,N,subject,Presidential Election of 2016,,,,,,,,,,,,,,,,,2016-08-01T00:00:00Z,article,National,U.S.,Politics,,,reported,Albert,1,HUNT,,,,,,,,,,,By ALBERT R. HUNT | BLOOMBERG VIEW,News,579e182038f0d84e50332812,,,Letter from Washington,R.,,,,,,,,,,,
http://www.nytimes.com/2016/08/01/arts/television/stephen-colbert-found-himself-again-at-the-conventions.html,The late-night host’s two-week live format revived his show. Here’s how he can keep his nightly gig thriving.,The late-night host’s two-week live format revived his show. Here’s how he can keep his nightly gig thriving.,"James Poniewozik Critic's Notebook lauds revival of Stephen Colbert's Comedy Central political character during two-week live programming of Late Show with Stephen Colbert, covering both Republican and Democratic National Conventions. ",1,The New York Times,190,images/2016/08/01/arts/01COLBERT/01COLBERT-thumbWide-v4.jpg,126,wide,images/2016/08/01/arts/01COLBERT/01COLBERT-thumbWide-v4.jpg,126,190,image,600,images/2016/08/01/arts/01COLBERT/01COLBERT-articleLarge.jpg,491,xlarge,600,images/2016/08/01/arts/01COLBERT/01COLBERT-articleLarge.jpg,491,image,75,images/2016/08/01/arts/01COLBERT/01COLBERT-thumbStandard-v2.jpg,75,thumbnail,75,images/2016/08/01/arts/01COLBERT/01COLBERT-thumbStandard-v2.jpg,75,image,Colbert Again in Character — as Himself — at the Conventions,"Colbert, Again in Character as Himself",1,Y,subject,Television,2,Y,persons,"Colbert, Stephen",3,N,creative_works,Late Show with Stephen Colbert (TV Program),4,N,subject,Presidential Election of 2016,5,Y,subject,Democratic National Convention,6,Y,subject,Republican National Convention,,,,,,,,,2016-08-01T00:00:00Z,article,Culture,Arts,Television,,,reported,James,1,PONIEWOZIK,,,,,,,,,,,By JAMES PONIEWOZIK,News,579e302038f0d8533c25075d,,,Critic’s Notebook,,,,,,,,,,,,
http://www.nytimes.com/2016/08/01/us/politics/donald-trump-debate-nfl-conflict.html,The Commission on Presidential Debates released a statement saying it had started planning the debate schedule 18 months ago and that it was impossible to avoid all conflicts.,The Commission on Presidential Debates released a statement saying it had started planning the debate schedule 18 months ago and that it was impossible to avoid all conflicts.,,,The New York Times,190,images/2016/08/01/us/01debates/01debates-thumbWide.jpg,126,wide,images/2016/08/01/us/01debates/01debates-thumbWide.jpg,126,190,image,600,images/2016/08/01/us/01debates/01debates-articleLarge.jpg,441,xlarge,600,images/2016/08/01/us/01debates/01debates-articleLarge.jpg,441,image,75,images/2016/08/01/us/01debates/01debates-thumbStandard.jpg,75,thumbnail,75,images/2016/08/01/us/01debates/01debates-thumbStandard.jpg,75,image,Debate Committee Rebuffs Donald Trump’s Complaints of N.F.L. Scheduling Conflicts,,1,N,subject,Presidential Election of 2016,2,N,subject,Debates (Political),3,N,organizations,Commission on Presidential Debates,4,N,organizations,Republican National Committee,5,N,persons,"Trump, Donald J",6,N,persons,"Priebus, Reince R",,,,,,,,,2016-08-01T00:00:00Z,article,National,U.S.,Politics,,,reported,Nick,1,CORASANITI,,,,,,,,,,,By NICK CORASANITI,News,579e51de38f0d8533c25078a,,,,,,,,,,,,,,,
http://www.nytimes.com/2016/08/01/us/paul-manafort-ukraine-donald-trump.html,"With Russia becoming a focus of the presidential campaign, Mr. Manafort’s work and business dealings in Ukraine have come under scrutiny.","With Russia becoming a focus of the presidential campaign, Mr. Manafort’s work and business dealings in Ukraine have come under scrutiny.",History of dealings between Trump campaign manager Paul Manafort and Ukrainian and Russian business and political elites raises questions after hacking of Democratic National Committee’s emails is linked to Russian spies; review of Manafort's political strategies as consultant in Ukraine reveals echoes of Trump’s populist campaign.,1,The New York Times,190,images/2016/08/01/us/01MANAFORT1/01MANAFORT1-thumbWide.jpg,126,wide,images/2016/08/01/us/01MANAFORT1/01MANAFORT1-thumbWide.jpg,126,190,image,600,images/2016/08/01/us/01MANAFORT1/01MANAFORT1-articleLarge.jpg,400,xlarge,600,images/2016/08/01/us/01MANAFORT1/01MANAFORT1-articleLarge.jpg,400,image,75,images/2016/08/01/us/01MANAFORT1/01MANAFORT1-thumbStandard.jpg,75,thumbnail,75,images/2016/08/01/us/01MANAFORT1/01MANAFORT1-thumbStandard.jpg,75,image,How Paul Manafort Wielded Power in Ukraine Before Advising Donald Trump,"Before Running Trump’s Bid,  Wielding Influence in Ukraine",1,Y,subject,Presidential Election of 2016,2,Y,persons,"Manafort, Paul J",3,Y,glocations,Ukraine,4,N,persons,"Yanukovych, Viktor F",5,Y,persons,"Trump, Donald J",6,N,subject,Elections,7,N,persons,"Putin, Vladimir V",8,N,glocations,Crimea (Ukraine),2016-08-01T00:00:00Z,article,National,U.S.,Politics,"Steven Lee Myers reported from Washington, and Andrew E. Kramer from Moscow.",,reported,Steven,1,MYERS,,reported,Andrew,2,KRAMER,,,,,,By STEVEN LEE MYERS and ANDREW E. KRAMER,News,579ea47c38f0d8533c25080b,,,,Lee,E.,,,,,,,,,,
http://www.nytimes.com/2016/08/01/opinion/off-to-the-races.html,"Despite Hillary Clinton’s enormous advantage in qualifications, the presidential race is likely to remain very tight.","Despite Hillary Clinton’s enormous advantage in qualifications, the presidential race is likely to remain very tight.","Charles M Blow Op-Ed column compares two political conventions, noting that despite Democrats putting on far superior convention, race between Hillary Clinton and Donald Trump will remain tight; warns that Clinton faces considerable challenges in winning younger people to her candidacy.",17,The New York Times,190,images/2016/08/01/opinion/01blow-ch/01blow-ch-thumbWide.gif,126,wide,images/2016/08/01/opinion/01blow-ch/01blow-ch-thumbWide.gif,126,190,image,600,images/2016/08/01/opinion/01blow-ch/01blow-ch-articleLarge.gif,2609,xlarge,600,images/2016/08/01/opinion/01blow-ch/01blow-ch-articleLarge.gif,2609,image,75,images/2016/08/01/opinion/01blow-ch/01blow-ch-thumbStandard.gif,75,thumbnail,75,images/2016/08/01/opinion/01blow-ch/01blow-ch-thumbStandard.gif,75,image,Off to the Races,Off to the Races,1,Y,subject,Presidential Election of 2016,2,N,subject,Polls and Public Opinion,3,Y,persons,"Clinton, Hillary Rodham",4,Y,persons,"Trump, Donald J",5,Y,subject,Democratic National Convention,6,Y,subject,Republican National Convention,7,N,subject,Youth,8,N,subject,Voting and Voters,2016-08-01T00:00:00Z,article,OpEd,Opinion,,,,reported,Charles,1,,,,,,,,,,,,By CHARLES M. BLOW,Op-Ed,579ef86438f0d8533c2508b0,,,Op-Ed Columnist,,,Op-Ed Columnist,9,N,subject,Voting Rights Act (1965),10,N,organizations,Supreme Court (US),
http://www.nytimes.com/2016/08/01/opinion/donald-trump-ducks-tax-disclosure.html,Voters deserve to know what the Republican nominee is hiding.,Voters deserve to know what the Republican nominee is hiding.,"Editorial criticizes Donald Trump for his refusal to release his full income tax returns, something that no major party candidate has refused to do since 1976.",16,The New York Times,190,images/2016/08/01/opinion/01mon1/01mon1-thumbWide.jpg,126,wide,images/2016/08/01/opinion/01mon1/01mon1-thumbWide.jpg,126,190,image,600,images/2016/08/01/opinion/01mon1/01mon1-articleLarge.jpg,600,xlarge,600,images/2016/08/01/opinion/01mon1/01mon1-articleLarge.jpg,600,image,75,images/2016/08/01/opinion/01mon1/01mon1-thumbStandard.jpg,75,thumbnail,75,images/2016/08/01/opinion/01mon1/01mon1-thumbStandard.jpg,75,image,Donald Trump Ducks Tax Disclosure,Mr. Trump Ducks Tax Disclosure,1,Y,persons,"Trump, Donald J",2,Y,subject,Presidential Election of 2016,3,Y,subject,Income Tax,4,N,organizations,Internal Revenue Service,5,Y,subject,Editorials,,,,,,,,,,,,,2016-08-01T00:00:00Z,article,Editorial,Opinion,,,,,,,,,,,,,,,,,,By THE EDITORIAL BOARD,Editorial,579ef87638f0d8533c2508b2,,,Editorial,,,Editorial,,,,,,,,,THE EDITORIAL BOARD
http://www.nytimes.com/2016/08/01/nytnow/your-monday-briefing-hillary-clinton-donald-trump-pga-championship.html,Here’s what you need to know to start your day.,Here’s what you need to know to start your day.,,,The New York Times,190,images/2016/08/02/world/01NYTNow-Freefalling1/01NYTNow-Freefalling1-thumbWide.jpg,126,wide,images/2016/08/02/world/01NYTNow-Freefalling1/01NYTNow-Freefalling1-thumbWide.jpg,126,190,image,600,images/2016/08/02/world/01NYTNow-Freefalling1/01NYTNow-Freefalling1-articleLarge.jpg,400,xlarge,600,images/2016/08/02/world/01NYTNow-Freefalling1/01NYTNow-Freefalling1-articleLarge.jpg,400,image,75,images/2016/08/02/world/01NYTNow-Freefalling1/01NYTNow-Freefalling1-thumbStandard-v2.jpg,75,thumbnail,75,images/2016/08/02/world/01NYTNow-Freefalling1/01NYTNow-Freefalling1-thumbStandard-v2.jpg,75,image,"Hillary Clinton, Donald Trump, P.G.A. Championship: Your Monday Briefing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-08-01T00:00:00Z,article,NYTNow,NYT Now,,,,reported,Adeel,1,HASSAN,,,,,,,,,,,By ADEEL HASSAN,briefing,579f1b4f38f0d8533c250906,,,,,,,,,,,,,,,
http://www.nytimes.com/2016/07/21/nyregion/new-york-today-olympians-from-new-york.html,"Monday: New Yorkers at Rio, Bruce Springsteen’s back, and the Olympic mascot.","Monday: New Yorkers at Rio, Bruce Springsteen’s back, and the Olympic mascot.",,,The New York Times,190,images/2016/08/01/nyregion/01NYTODAY1/01NYTODAY1-thumbWide.jpg,126,wide,images/2016/08/01/nyregion/01NYTODAY1/01NYTODAY1-thumbWide.jpg,126,190,image,600,images/2016/08/01/nyregion/01NYTODAY1/01NYTODAY1-articleLarge.jpg,400,xlarge,600,images/2016/08/01/nyregion/01NYTODAY1/01NYTODAY1-articleLarge.jpg,400,image,75,images/2016/08/01/nyregion/01NYTODAY1/01NYTODAY1-thumbStandard.jpg,75,thumbnail,75,images/2016/08/01/nyregion/01NYTODAY1/01NYTODAY1-thumbStandard.jpg,75,image,New York Today: Olympians From New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-08-01T00:00:00Z,article,Metro,N.Y. / Region,,,,reported,Alexandra,1,LEVINE,,,,,,,,,,,By ALEXANDRA S. LEVINE,briefing,579f1f0f38f0d8533c250914,,,New York Today,S.,,,,,,,,,,,
http://www.nytimes.com/2016/08/01/us/winner-in-trump-feud-with-khan-family-the-constitution.html,"When the father of a Muslim soldier killed in Iraq challenged Donald J. Trump, interest in the founding document was kindled across the nation.","When the father of a Muslim soldier killed in Iraq challenged Donald J. Trump, interest in the founding document was kindled across the nation.",,,The New York Times,190,images/2016/08/01/us/o2xp-constitution/o2xp-constitution-thumbWide.jpg,126,wide,images/2016/08/01/us/o2xp-constitution/o2xp-constitution-thumbWide.jpg,126,190,image,600,images/2016/08/01/us/o2xp-constitution/o2xp-constitution-articleLarge.jpg,374,xlarge,600,images/2016/08/01/us/o2xp-constitution/o2xp-constitution-articleLarge.jpg,374,image,75,images/2016/08/01/us/o2xp-constitution/o2xp-constitution-thumbStandard.jpg,75,thumbnail,75,images/2016/08/01/us/o2xp-constitution/o2xp-constitution-thumbStandard.jpg,75,image,Pocket Constitution Sales Soar After Trump Feud With Khan Family,,1,N,subject,Constitution (US),2,N,subject,Presidential Election of 2016,3,N,subject,Books and Literature,4,N,organizations,Amazon.com Inc,5,N,persons,"Trump, Donald J",6,N,persons,"Khan, Khizr (1950- )",,,,,,,,,2016-08-01T00:00:00Z,article,National,U.S.,,,,reported,Mike,1,McPHATE,,,,,,,,,,,By MIKE McPHATE,News,579f80c438f0d861602e19b7,,,,,,,,,,,,,,,
